Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	9200.0	0.0	7200.0	0.0	2000.0	0.0	78.26	0.0	21.74
2	9000.0	0.0	1000.0	0.0	8000.0	0.0	11.11	0.0	88.89
3	16000.0	0.0	7000.0	0.0	9000.0	0.0	43.75	0.0	56.25
4	20000.0	4000.0	5000.0	1000.0	10000.0	20.0	25.0	5.0	50.0
5	13000.0	2000.0	4000.0	3000.0	4000.0	15.38	30.77	23.08	30.77
6	20000.0	5000.0	6000.0	1000.0	8000.0	25.0	30.0	5.0	40.0
7	20000.0	5000.0	9000.0	2000.0	4000.0	25.0	45.0	10.0	20.0
8	17000.0	5000.0	8000.0	1000.0	3000.0	29.41	47.06	5.88	17.65
9	18000.0	1000.0	9000.0	1000.0	7000.0	5.56	50.0	5.56	38.89
10	24000.0	4000.0	10000.0	5000.0	5000.0	16.67	41.67	20.83	20.83
11	8000.0	0.0	4000.0	1000.0	3000.0	0.0	50.0	12.5	37.5
12	22000.0	5000.0	2000.0	2000.0	13000.0	22.73	9.09	9.09	59.09
13	24000.0	1000.0	2000.0	1000.0	20000.0	4.17	8.33	4.17	83.33
14	18000.0	6000.0	5000.0	1000.0	6000.0	33.33	27.78	5.56	33.33
15	24000.0	7000.0	10000.0	2000.0	5000.0	29.17	41.67	8.33	20.83
16	41000.0	0.0	8000.0	1000.0	32000.0	0.0	19.51	2.44	78.05
17	14000.0	1000.0	7000.0	2000.0	4000.0	7.14	50.0	14.29	28.57
18	24000.0	7000.0	13000.0	1000.0	3000.0	29.17	54.17	4.17	12.5
19	22000.0	5000.0	8000.0	1000.0	8000.0	22.73	36.36	4.55	36.36
20	19000.0	0.0	8000.0	1000.0	10000.0	0.0	42.11	5.26	52.63
21	11000.0	2000.0	4000.0	2000.0	3000.0	18.18	36.36	18.18	27.27
22	18000.0	4000.0	4000.0	1000.0	9000.0	22.22	22.22	5.56	50.0
23	19000.0	4000.0	5000.0	3000.0	7000.0	21.05	26.32	15.79	36.84
24	44000.0	2000.0	12000.0	25000.0	5000.0	4.55	27.27	56.82	11.36
