Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	10100	0	7100	0	3000	0	70.3	0	29.7
2	16000	6000	6000	1000	3000	37.5	37.5	6.25	18.75
3	14000	4000	5000	0	5000	28.57	35.71	0	35.71
4	18000	4000	5000	1000	8000	22.22	27.78	5.56	44.44
5	21000	0	12000	1000	8000	0	57.14	4.76	38.1
6	18000	0	13000	1000	4000	0	72.22	5.56	22.22
7	21000	0	13000	1000	7000	0	61.9	4.76	33.33
8	18000	1000	5000	4000	8000	5.56	27.78	22.22	44.44
9	20000	3000	8000	1000	8000	15	40	5	40
10	21000	2000	9000	2000	8000	9.52	42.86	9.52	38.1
11	25000	1000	11000	1000	12000	4	44	4	48
12	20000	1000	10000	1000	8000	5	50	5	40
13	15000	1000	7000	0	7000	6.67	46.67	0	46.67
14	17000	1000	5000	6000	5000	5.88	29.41	35.29	29.41
15	5000	-4000	5000	-1000	5000	-80	100	-20	100
16	15000	4000	6000	1000	4000	26.67	40	6.67	26.67
17	11000	1000	6000	1000	3000	9.09	54.55	9.09	27.27
18	17000	5000	8000	1000	3000	29.41	47.06	5.88	17.65
19	17000	5000	4000	3000	5000	29.41	23.53	17.65	29.41
20	11000	2000	3000	4000	2000	18.18	27.27	36.36	18.18
21	13000	3000	6000	2000	2000	23.08	46.15	15.38	15.38
22	20000	5000	4000	6000	5000	25	20	30	25
23	16000	3000	9000	1000	3000	18.75	56.25	6.25	18.75
24	17000	1000	9000	2000	5000	5.88	52.94	11.76	29.41
25	29000	8000	13000	5000	3000	27.59	44.83	17.24	10.34
26	10000	1000	5000	1000	3000	10	50	10	30
27	15000	1000	11000	1000	2000	6.67	73.33	6.67	13.33
