Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	9370	0	5370	0	4000	0	57.31	0	42.69
2	20000	5000	7000	0	8000	25	35	0	40
3	14000	0	6000	3000	5000	0	42.86	21.43	35.71
4	13000	1000	7000	1000	4000	7.69	53.85	7.69	30.77
5	23000	4000	6000	1000	12000	17.39	26.09	4.35	52.17
6	12000	0	6000	1000	5000	0	50	8.33	41.67
7	10000	5000	2000	0	3000	50	20	0	30
8	19000	4000	7000	1000	7000	21.05	36.84	5.26	36.84
9	18000	0	6000	0	12000	0	33.33	0	66.67
10	15000	3000	8000	1000	3000	20	53.33	6.67	20
11	9000	2000	2000	3000	2000	22.22	22.22	33.33	22.22
12	44000	5000	5000	0	34000	11.36	11.36	0	77.27
13	26000	6000	8000	2000	10000	23.08	30.77	7.69	38.46
14	16000	6000	4000	3000	3000	37.5	25	18.75	18.75
15	15000	4000	8000	1000	2000	26.67	53.33	6.67	13.33
16	16000	5000	6000	3000	2000	31.25	37.5	18.75	12.5
17	14000	4000	4000	4000	2000	28.57	28.57	28.57	14.29
18	23000	4000	7000	2000	10000	17.39	30.43	8.7	43.48
19	14000	5000	6000	1000	2000	35.71	42.86	7.14	14.29
20	24000	5000	8000	8000	3000	20.83	33.33	33.33	12.5
21	16000	6000	7000	2000	1000	37.5	43.75	12.5	6.25
22	14000	0	11000	1000	2000	0	78.57	7.14	14.29
23	16000	6000	6000	1000	3000	37.5	37.5	6.25	18.75
24	13000	5000	5000	2000	1000	38.46	38.46	15.38	7.69
25	20000	6000	9000	1000	4000	30	45	5	20
26	29000	1000	11000	1000	16000	3.45	37.93	3.45	55.17
