Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	16030.000000000002	0	8029.999999999999	0	8000	0	50.09	0	49.91
2	20000	5000	4000	5000	6000	25	20	25	30
3	28000	0	7000	0	21000	0	25	0	75
4	18000	0	4000	0	14000	0	22.22	0	77.78
5	15000	0	4000	0	11000	0	26.67	0	73.33
6	16000	0	8000	0	8000	0	50	0	50
7	12000	3000	5000	0	4000	25	41.67	0	33.33
8	11000	0	3000	0	8000	0	27.27	0	72.73
9	15000	3000	5000	0	7000	20	33.33	0	46.67
10	32000	5000	10000	1000	16000	15.62	31.25	3.12	50
11	28000	4000	9000	0	15000	14.29	32.14	0	53.57
12	21000	0	14000	0	7000	0	66.67	0	33.33
13	18000	2000	6000	0	10000	11.11	33.33	0	55.56
14	26000	0	6000	1000	19000	0	23.08	3.85	73.08
15	28000	0	8000	0	20000	0	28.57	0	71.43
16	22000	1000	10000	0	11000	4.55	45.45	0	50
17	20000	0	10000	0	10000	0	50	0	50
18	22000	0	11000	0	11000	0	50	0	50
19	23000	0	8000	0	15000	0	34.78	0	65.22
20	12000	0	7000	0	5000	0	58.33	0	41.67
21	21000	0	6000	0	15000	0	28.57	0	71.43
22	15000	0	12000	0	3000	0	80	0	20
