Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	13800	0	5800	0	8000	0	42.03	0	57.97
2	10000	0	4000	0	6000	0	40	0	60
3	28000	4000	4000	3000	17000	14.29	14.29	10.71	60.71
4	17000	6000	7000	0	4000	35.29	41.18	0	23.53
5	26000	4000	7000	1000	14000	15.38	26.92	3.85	53.85
6	21000	4000	6000	0	11000	19.05	28.57	0	52.38
7	44000	7000	8000	1000	28000	15.91	18.18	2.27	63.64
8	21000	2000	8000	0	11000	9.52	38.1	0	52.38
9	12000	4000	4000	1000	3000	33.33	33.33	8.33	25
10	16000	6000	4000	1000	5000	37.5	25	6.25	31.25
11	13000	3000	3000	0	7000	23.08	23.08	0	53.85
12	19000	4000	8000	1000	6000	21.05	42.11	5.26	31.58
13	13000	0	5000	4000	4000	0	38.46	30.77	30.77
14	21000	0	3000	0	18000	0	14.29	0	85.71
15	19000	5000	8000	1000	5000	26.32	42.11	5.26	26.32
16	17000	5000	7000	0	5000	29.41	41.18	0	29.41
17	13000	5000	4000	1000	3000	38.46	30.77	7.69	23.08
18	18000	4000	9000	0	5000	22.22	50	0	27.78
19	23000	5000	9000	5000	4000	21.74	39.13	21.74	17.39
20	12000	5000	3000	2000	2000	41.67	25	16.67	16.67
21	13000	0	3000	3000	7000	0	23.08	23.08	53.85
22	12000	4000	3000	2000	3000	33.33	25	16.67	25
23	13000	4000	3000	1000	5000	30.77	23.08	7.69	38.46
24	12000	1000	8000	0	3000	8.33	66.67	0	25
25	20000	2000	8000	0	10000	10	40	0	50
