Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	6600	0	4600	0	2000	0	69.7	0	30.3
2	12000	4000	4000	2000	2000	33.33	33.33	16.67	16.67
3	16000	3000	6000	0	7000	18.75	37.5	0	43.75
4	18000	1000	10000	-2000	9000	5.56	55.56	-11.11	50
5	17000	5000	7000	0	5000	29.41	41.18	0	29.41
6	21000	4000	3000	0	14000	19.05	14.29	0	66.67
7	12000	5000	5000	0	2000	41.67	41.67	0	16.67
8	16000	3000	4000	1000	8000	18.75	25	6.25	50
9	20000	6000	4000	0	10000	30	20	0	50
10	28000	6000	8000	2000	12000	21.43	28.57	7.14	42.86
11	21000	5000	7000	1000	8000	23.81	33.33	4.76	38.1
12	20000	3000	9000	1000	7000	15	45	5	35
13	21000	5000	4000	1000	11000	23.81	19.05	4.76	52.38
14	15000	4000	6000	1000	4000	26.67	40	6.67	26.67
15	13000	3000	2000	1000	7000	23.08	15.38	7.69	53.85
16	13000	4000	4000	1000	4000	30.77	30.77	7.69	30.77
17	15000	3000	3000	1000	8000	20	20	6.67	53.33
18	24000	4000	5000	2000	13000	16.67	20.83	8.33	54.17
19	22000	6000	5000	1000	10000	27.27	22.73	4.55	45.45
20	18000	4000	7000	1000	6000	22.22	38.89	5.56	33.33
21	22000	1000	4000	1000	16000	4.55	18.18	4.55	72.73
22	17000	6000	6000	1000	4000	35.29	35.29	5.88	23.53
23	22000	3000	4000	1000	14000	13.64	18.18	4.55	63.64
24	16000	5000	2000	3000	6000	31.25	12.5	18.75	37.5
