Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	9230	0	7070	560	1600	0	76.6	6.07	17.33
2	15040	5240	5680	1200	2920	34.84	37.77	7.98	19.41
3	22160	4200	3760	4920	9280	18.95	16.97	22.2	41.88
4	19160	2800	7280	1280	7800	14.61	38	6.68	40.71
5	60720	5680	5240	2720	47080	9.35	8.63	4.48	77.54
6	20040	5280	8119.999999999999	1920	4720	26.35	40.52	9.58	23.55
7	16800	4720	6280	1080	4720	28.1	37.38	6.43	28.1
8	22960	4880	6480	2080	9520	21.25	28.22	9.06	41.46
9	12080	0	7000	2000	3080	0	57.95	16.56	25.5
10	14680	3120	7560	1920	2080	21.25	51.5	13.08	14.17
11	12360	4560	5120	920	1760	36.89	41.42	7.44	14.24
12	12600	3840	800	1800	6160	30.48	6.35	14.29	48.89
