Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	23360	0	20060	3300	0	0	85.87	14.13	0
2	21860	5660	8200	4000	4000	25.89	37.51	18.3	18.3
3	10000	0	4000	6000	0	0	40	60	0
4	17000	4000	6000	4000	3000	23.53	35.29	23.53	17.65
5	13000	1000	7000	5000	0	7.69	53.85	38.46	0
6	19140	5000	7000	7140	0	26.12	36.57	37.3	0
7	17860	2860	9000	6000	0	16.01	50.39	33.59	0
8	17000	3000	8000	3000	3000	17.65	47.06	17.65	17.65
9	19000	5000	7000	7000	0	26.32	36.84	36.84	0
10	29000	0	12000	5000	12000	0	41.38	17.24	41.38
11	25000	6000	9000	6000	4000	24	36	24	16
12	16000	3000	4000	6000	3000	18.75	25	37.5	18.75
13	13000	2000	2000	6000	3000	15.38	15.38	46.15	23.08
14	22000	1000	8000	5000	8000	4.55	36.36	22.73	36.36
15	20000	6000	8000	2000	4000	30	40	10	20
16	11000	0	3000	8000	0	0	27.27	72.73	0
17	7000	1000	3000	3000	0	14.29	42.86	42.86	0
18	8000	1000	1000	6000	0	12.5	12.5	75	0
19	7000	1000	3000	3000	0	14.29	42.86	42.86	0
20	27000	6000	10000	11000	0	22.22	37.04	40.74	0
21	10000	1000	1000	8000	0	10	10	80	0
22	12000	4000	2000	6000	0	33.33	16.67	50	0
23	20000	2000	4000	14000	0	10	20	70	0
24	30000	2000	8000	2000	18000	6.67	26.67	6.67	60
25	17000	1000	8000	5000	3000	5.88	47.06	29.41	17.65
26	17000	2000	11000	2000	2000	11.76	64.71	11.76	11.76
