Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	22370	0	7370	0	15000	0	32.95	0	67.05
2	19000	0	9000	0	10000	0	47.37	0	52.63
3	17000	0	7000	0	10000	0	41.18	0	58.82
4	24000	0	8000	0	16000	0	33.33	0	66.67
5	18000	3000	8000	0	7000	16.67	44.44	0	38.89
6	18000	0	8000	0	10000	0	44.44	0	55.56
7	27000	0	8000	0	19000	0	29.63	0	70.37
8	20000	1000	10000	0	9000	5	50	0	45
9	20000	0	9000	0	11000	0	45	0	55
10	16000	0	5000	0	11000	0	31.25	0	68.75
11	16000	0	8000	0	8000	0	50	0	50
12	7000	0	4000	0	3000	0	57.14	0	42.86
13	20000	0	11000	0	9000	0	55	0	45
14	16000	0	8000	0	8000	0	50	0	50
15	8000	0	6000	0	2000	0	75	0	25
16	21000	5000	5000	0	11000	23.81	23.81	0	52.38
17	13000	0	6000	0	7000	0	46.15	0	53.85
18	20000	0	15000	0	5000	0	75	0	25
19	9000	0	4000	0	5000	0	44.44	0	55.56
20	16000	3000	11000	0	2000	18.75	68.75	0	12.5
21	15000	1000	9000	0	5000	6.67	60	0	33.33
22	16000	4000	6000	0	6000	25	37.5	0	37.5
23	14000	0	6000	0	8000	0	42.86	0	57.14
24	12000	0	6000	0	6000	0	50	0	50
25	13000	0	7000	0	6000	0	53.85	0	46.15
26	10000	0	5000	0	5000	0	50	0	50
