Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	15090	0	7090	0	8000	0	46.98	0	53.02
2	13000	0	8000	1000	4000	0	61.54	7.69	30.77
3	20000	5000	7000	2000	6000	25	35	10	30
4	21000	6000	5000	2000	8000	28.57	23.81	9.52	38.1
5	14000	0	7000	0	7000	0	50	0	50
6	29000	5000	8000	3000	13000	17.24	27.59	10.34	44.83
7	16000	4000	5000	5000	2000	25	31.25	31.25	12.5
8	11000	1000	4000	1000	5000	9.09	36.36	9.09	45.45
9	12000	4000	6000	0	2000	33.33	50	0	16.67
10	25000	5000	10000	2000	8000	20	40	8	32
11	22000	0	13000	6000	3000	0	59.09	27.27	13.64
12	15000	1000	9000	2000	3000	6.67	60	13.33	20
13	19000	4000	6000	8000	1000	21.05	31.58	42.11	5.26
14	7000	0	4000	2000	1000	0	57.14	28.57	14.29
15	27000	7000	5000	3000	12000	25.93	18.52	11.11	44.44
16	19000	0	14000	1000	4000	0	73.68	5.26	21.05
17	23000	0	14000	1000	8000	0	60.87	4.35	34.78
18	30000	5000	10000	1000	14000	16.67	33.33	3.33	46.67
19	18000	5000	4000	1000	8000	27.78	22.22	5.56	44.44
20	18000	1000	5000	7000	5000	5.56	27.78	38.89	27.78
21	20000	4000	12000	1000	3000	20	60	5	15
22	20000	0	14000	1000	5000	0	70	5	25
23	14000	1000	8000	2000	3000	7.14	57.14	14.29	21.43
