Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	9330	0	7330	0	2000	0	78.56	0	21.44
2	21000	4000	6000	0	11000	19.05	28.57	0	52.38
3	18000	0	9000	0	9000	0	50	0	50
4	47000	0	8000	0	39000	0	17.02	0	82.98
5	17000	1000	8000	0	8000	5.88	47.06	0	47.06
6	10000	0	3000	0	7000	0	30	0	70
7	14000	5000	5000	0	4000	35.71	35.71	0	28.57
8	22000	5000	7000	0	10000	22.73	31.82	0	45.45
9	18000	6000	9000	0	3000	33.33	50	0	16.67
10	16000	4000	7000	4000	1000	25	43.75	25	6.25
11	24000	5000	6000	1000	12000	20.83	25	4.17	50
12	18000	5000	8000	1000	4000	27.78	44.44	5.56	22.22
13	20000	5000	8000	1000	6000	25	40	5	30
14	20000	6000	11000	1000	2000	30	55	5	10
15	20000	4000	6000	5000	5000	20	30	25	25
16	17000	6000	2000	1000	8000	35.29	11.76	5.88	47.06
17	10000	0	5000	0	5000	0	50	0	50
18	16000	5000	5000	2000	4000	31.25	31.25	12.5	25
19	9000	3000	3000	1000	2000	33.33	33.33	11.11	22.22
20	23000	5000	4000	11000	3000	21.74	17.39	47.83	13.04
21	11000	3000	4000	1000	3000	27.27	36.36	9.09	27.27
22	6000	2000	2000	0	2000	33.33	33.33	0	33.33
23	17000	4000	5000	0	8000	23.53	29.41	0	47.06
24	5000	0	3000	1000	1000	0	60	20	20
25	15000	4000	6000	1000	4000	26.67	40	6.67	26.67
26	21000	2000	12000	0	7000	9.52	57.14	0	33.33
