Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	7500	0	5500	0	2000	0	73.33	0	26.67
2	24000	5000	8000	0	11000	20.83	33.33	0	45.83
3	17000	2000	8000	1000	6000	11.76	47.06	5.88	35.29
4	20000	5000	7000	1000	7000	25	35	5	35
5	12000	1000	6000	1000	4000	8.33	50	8.33	33.33
6	13000	4000	5000	1000	3000	30.77	38.46	7.69	23.08
7	18000	4000	5000	1000	8000	22.22	27.78	5.56	44.44
8	19000	4000	6000	1000	8000	21.05	31.58	5.26	42.11
9	15000	5000	5000	2000	3000	33.33	33.33	13.33	20
10	21000	4000	6000	2000	9000	19.05	28.57	9.52	42.86
11	20000	4000	7000	2000	7000	20	35	10	35
12	18000	6000	5000	2000	5000	33.33	27.78	11.11	27.78
13	16000	5000	4000	1000	6000	31.25	25	6.25	37.5
14	18000	5000	5000	2000	6000	27.78	27.78	11.11	33.33
15	15000	5000	4000	1000	5000	33.33	26.67	6.67	33.33
16	17000	4000	6000	1000	6000	23.53	35.29	5.88	35.29
17	16000	3000	9000	1000	3000	18.75	56.25	6.25	18.75
18	27000	0	3000	5000	19000	0	11.11	18.52	70.37
19	14000	5000	1000	0	8000	35.71	7.14	0	57.14
20	15000	5000	3000	2000	5000	33.33	20	13.33	33.33
21	17000	4000	6000	1000	6000	23.53	35.29	5.88	35.29
22	12000	6000	2000	1000	3000	50	16.67	8.33	25
23	13000	6000	3000	2000	2000	46.15	23.08	15.38	15.38
24	7000	1000	5000	0	1000	14.29	71.43	0	14.29
25	21000	6000	5000	1000	9000	28.57	23.81	4.76	42.86
26	19000	6000	4000	1000	8000	31.58	21.05	5.26	42.11
27	41000	2000	24000	1000	14000	4.88	58.54	2.44	34.15
