Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	9000	0	14000	-7000	2000	0	155.56	-77.78	22.22
2	16000	6000	13000	-5000	2000	37.5	81.25	-31.25	12.5
3	16000	3000	16000	-8000	5000	18.75	100	-50	31.25
4	12000	3000	11000	-3000	1000	25	91.67	-25	8.33
5	15000	3000	13000	-6000	5000	20	86.67	-40	33.33
6	17000	1000	5000	6000	5000	5.88	29.41	35.29	29.41
7	13000	1000	15000	-8000	5000	7.69	115.38	-61.54	38.46
8	21000	3000	20000	-6000	4000	14.29	95.24	-28.57	19.05
9	28000	3000	13000	0	12000	10.71	46.43	0	42.86
10	5000	-8000	8000	0	5000	-160	160	0	100
11	30000	3000	15000	1000	11000	10	50	3.33	36.67
12	12000	-4000	5000	0	11000	-33.33	41.67	0	91.67
13	17000	0	17000	-3000	3000	0	100	-17.65	17.65
14	17000	1000	10000	3000	3000	5.88	58.82	17.65	17.65
15	15000	3000	7000	1000	4000	20	46.67	6.67	26.67
16	13000	4000	5000	1000	3000	30.77	38.46	7.69	23.08
17	14000	2000	7000	1000	4000	14.29	50	7.14	28.57
18	20000	5000	8000	1000	6000	25	40	5	30
19	33000	5000	7000	1000	20000	15.15	21.21	3.03	60.61
20	16000	3000	6000	1000	6000	18.75	37.5	6.25	37.5
21	15000	1000	5000	2000	7000	6.67	33.33	13.33	46.67
22	9000	0	4000	1000	4000	0	44.44	11.11	44.44
23	18000	4000	9000	2000	3000	22.22	50	11.11	16.67
24	21000	4000	9000	1000	7000	19.05	42.86	4.76	33.33
25	11000	1000	8000	1000	1000	9.09	72.73	9.09	9.09
26	17000	5000	9000	1000	2000	29.41	52.94	5.88	11.76
27	9000	1000	6000	1000	1000	11.11	66.67	11.11	11.11
