Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	9030	0	7030	0	2000	0	77.85	0	22.15
2	14000	0	11000	0	3000	0	78.57	0	21.43
3	20000	0	11000	0	9000	0	55	0	45
4	17000	0	11000	0	6000	0	64.71	0	35.29
5	13000	0	5000	0	8000	0	38.46	0	61.54
6	13000	0	7000	0	6000	0	53.85	0	46.15
7	11000	0	4000	0	7000	0	36.36	0	63.64
8	12000	0	6000	0	6000	0	50	0	50
9	13000	0	6000	0	7000	0	46.15	0	53.85
10	9000	0	3000	0	6000	0	33.33	0	66.67
11	15000	0	7000	0	8000	0	46.67	0	53.33
12	12000	0	6000	0	6000	0	50	0	50
13	16000	0	7000	1000	8000	0	43.75	6.25	50
14	13000	0	5000	0	8000	0	38.46	0	61.54
15	18000	0	7000	0	11000	0	38.89	0	61.11
16	17000	0	12000	1000	4000	0	70.59	5.88	23.53
17	28000	4000	5000	16000	3000	14.29	17.86	57.14	10.71
18	32000	5000	20000	3000	4000	15.62	62.5	9.38	12.5
19	24000	6000	12000	3000	3000	25	50	12.5	12.5
20	45000	8000	12000	1000	24000	17.78	26.67	2.22	53.33
21	16000	0	11000	2000	3000	0	68.75	12.5	18.75
22	12000	3000	5000	2000	2000	25	41.67	16.67	16.67
23	16000	3000	6000	4000	3000	18.75	37.5	25	18.75
24	12000	4000	3000	2000	3000	33.33	25	16.67	25
25	15000	5000	5000	3000	2000	33.33	33.33	20	13.33
26	12000	1000	10000	0	1000	8.33	83.33	0	8.33
