Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	10200	0	7200	0	3000	0	70.59	0	29.41
2	16000	4000	5000	0	7000	25	31.25	0	43.75
3	13000	1000	6000	0	6000	7.69	46.15	0	46.15
4	18000	3000	6000	1000	8000	16.67	33.33	5.56	44.44
5	21000	4000	6000	1000	10000	19.05	28.57	4.76	47.62
6	12000	4000	5000	0	3000	33.33	41.67	0	25
7	23000	1000	8000	0	14000	4.35	34.78	0	60.87
8	19000	1000	11000	0	7000	5.26	57.89	0	36.84
9	23000	5000	9000	0	9000	21.74	39.13	0	39.13
10	19000	4000	8000	0	7000	21.05	42.11	0	36.84
11	22000	0	11000	1000	10000	0	50	4.55	45.45
12	30000	5000	4000	0	21000	16.67	13.33	0	70
13	25000	1000	9000	3000	12000	4	36	12	48
14	14000	5000	7000	0	2000	35.71	50	0	14.29
15	13000	3000	6000	0	4000	23.08	46.15	0	30.77
16	14000	0	9000	1000	4000	0	64.29	7.14	28.57
17	22000	5000	6000	1000	10000	22.73	27.27	4.55	45.45
18	11000	0	6000	0	5000	0	54.55	0	45.45
19	14000	1000	9000	0	4000	7.14	64.29	0	28.57
20	19000	6000	7000	0	6000	31.58	36.84	0	31.58
21	16000	5000	6000	0	5000	31.25	37.5	0	31.25
22	16000	4000	3000	0	9000	25	18.75	0	56.25
23	16000	0	10000	0	6000	0	62.5	0	37.5
24	21000	0	19000	0	2000	0	90.48	0	9.52
