Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	9900	0	7900	0	2000	0	79.8	0	20.2
2	48000	6000	7000	1000	34000	12.5	14.58	2.08	70.83
3	19000	0	8000	0	11000	0	42.11	0	57.89
4	19000	0	10000	0	9000	0	52.63	0	47.37
5	19000	0	9000	0	10000	0	47.37	0	52.63
6	24000	0	12000	0	12000	0	50	0	50
7	51000	0	14000	3000	34000	0	27.45	5.88	66.67
8	42000	0	8000	0	34000	0	19.05	0	80.95
9	14000	0	11000	0	3000	0	78.57	0	21.43
10	32000	5000	10000	1000	16000	15.62	31.25	3.12	50
11	13000	6000	5000	1000	1000	46.15	38.46	7.69	7.69
12	19000	5000	11000	0	3000	26.32	57.89	0	15.79
13	9000	5000	3000	0	1000	55.56	33.33	0	11.11
14	8000	0	2000	0	6000	0	25	0	75
15	6000	0	3000	0	3000	0	50	0	50
16	27000	5000	4000	0	18000	18.52	14.81	0	66.67
17	17000	5000	6000	0	6000	29.41	35.29	0	35.29
18	9000	0	3000	0	6000	0	33.33	0	66.67
19	25000	6000	9000	0	10000	24	36	0	40
20	16000	5000	8000	0	3000	31.25	50	0	18.75
21	19000	3000	12000	0	4000	15.79	63.16	0	21.05
