Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	7970	0	6970	0	1000	0	87.45	0	12.55
2	15000	0	8000	0	7000	0	53.33	0	46.67
3	20000	4000	7000	0	9000	20	35	0	45
4	16000	0	7000	0	9000	0	43.75	0	56.25
5	19000	4000	8000	0	7000	21.05	42.11	0	36.84
6	10000	0	7000	1000	2000	0	70	10	20
7	22000	4000	13000	0	5000	18.18	59.09	0	22.73
8	21000	5000	9000	0	7000	23.81	42.86	0	33.33
9	15000	4000	7000	0	4000	26.67	46.67	0	26.67
10	16000	5000	9000	1000	1000	31.25	56.25	6.25	6.25
11	8000	4000	2000	1000	1000	50	25	12.5	12.5
12	8000	3000	4000	0	1000	37.5	50	0	12.5
13	6000	4000	1000	0	1000	66.67	16.67	0	16.67
14	7000	4000	1000	1000	1000	57.14	14.29	14.29	14.29
