Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	19670	0	7670	6000	6000	0	38.99	30.5	30.5
2	18000	1000	11000	1000	5000	5.56	61.11	5.56	27.78
3	22000	0	15000	1000	6000	0	68.18	4.55	27.27
4	16000	1000	9000	1000	5000	6.25	56.25	6.25	31.25
5	11000	1000	5000	1000	4000	9.09	45.45	9.09	36.36
6	18000	4000	7000	1000	6000	22.22	38.89	5.56	33.33
7	14000	1000	7000	1000	5000	7.14	50	7.14	35.71
8	19000	2000	8000	1000	8000	10.53	42.11	5.26	42.11
9	13000	1000	9000	1000	2000	7.69	69.23	7.69	15.38
10	16000	3000	6000	1000	6000	18.75	37.5	6.25	37.5
11	14000	4000	6000	1000	3000	28.57	42.86	7.14	21.43
12	16000	4000	6000	1000	5000	25	37.5	6.25	31.25
13	15000	1000	9000	1000	4000	6.67	60	6.67	26.67
14	20000	5000	10000	1000	4000	25	50	5	20
15	16000	1000	9000	0	6000	6.25	56.25	0	37.5
16	18000	6000	6000	1000	5000	33.33	33.33	5.56	27.78
17	18000	4000	6000	1000	7000	22.22	33.33	5.56	38.89
18	8000	1000	3000	0	4000	12.5	37.5	0	50
19	17000	4000	8000	1000	4000	23.53	47.06	5.88	23.53
20	12000	2000	6000	1000	3000	16.67	50	8.33	25
21	12000	4000	5000	1000	2000	33.33	41.67	8.33	16.67
22	19000	2000	9000	1000	7000	10.53	47.37	5.26	36.84
23	27000	4000	7000	1000	15000	14.81	25.93	3.7	55.56
24	15000	1000	5000	1000	8000	6.67	33.33	6.67	53.33
25	16000	1000	10000	1000	4000	6.25	62.5	6.25	25
26	17000	5000	9000	1000	2000	29.41	52.94	5.88	11.76
27	17000	2000	12000	1000	2000	11.76	70.59	5.88	11.76
