frame,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input,frame,approx_time
0,291.40425967261905,120.59913155691964,77.8760602678571,95.48884277343751,0.9930198788642883,293.02468836304575,294.9890393748013,297.81308625233083,301.84175060829307,307.45143645295747,315.06158808277297,324.78168187290095,335.65233282088667,346.5883936662409,356.70578923561334,364.7359622879433,370.5151592783515,373.46796844497106,374.6093530548319,374.6702688817746,373.3819527566074,371.1359966669699,300.6791181973763,304.72237803738113,311.28250855290844,319.00431529415556,326.2040756523692,343.0418959407033,348.8275198616141,355.35979465338477,361.4056375457628,365.53923981214774,336.80634590524204,338.3070239327669,339.80694384202843,341.421967959325,332.6614538236383,337.0169183753025,341.5831602938551,345.4480881796738,348.87653118285425,309.36483816097535,313.9415024981751,318.97345100197555,324.4696171740741,319.77198857956057,314.745695228211,346.56848452446064,350.91033709685627,355.8341376399297,360.47434731336386,356.12537799114494,351.318450598721,327.54343157737304,332.44979540038986,338.59530010987146,342.5027372575908,346.2390855539912,352.0740418011726,356.35911746254965,352.8941755044212,348.1338826300334,343.75857040563733,339.393434723695,333.37652326342027,329.78669668867036,338.81818687929035,342.7380612644648,346.58536802308186,354.2665129888269,347.2046003865481,343.19153892403256,339.097160740407,164.36870164911062,174.18909243650882,184.0035138963201,193.49807091805476,201.36087058154547,207.11455791687683,210.51662386840883,212.02559338757044,211.80737143593407,209.4357589516233,204.94291790672844,198.36166594318902,189.82237891261497,180.45000186937312,170.58070220914877,160.83022904933347,151.50977286228826,142.34785218090434,136.49320534855917,132.77388056361238,131.45456525585342,132.25991053054636,131.53285633380426,129.16203099480745,128.83024326881906,131.04686325511813,135.86629618393988,142.36287794828564,146.31344246333643,149.796842210714,153.54462716505984,166.89090305710624,166.81020444142723,166.48172067678917,165.8732419818419,165.15541667972434,150.11371174015574,146.3041128277715,145.36843780325498,147.9998731251655,149.375693855646,150.18056957510828,146.22973186428692,142.96318467474575,142.85006113604732,145.8432691272398,146.70662581633957,146.93138739173392,186.82650043276522,179.34749301766428,174.98290372726308,175.51623651056815,174.43642339749937,177.9679499948098,184.27008466945293,188.02414971157475,189.90101148527907,190.4865519803399,190.54472901968262,189.41705883750433,185.9661659718774,180.05104725571672,179.86218701952228,179.57213506990902,183.81020739895965,184.71014841668574,185.16032040742957,185.2260922891941,15.951290766100483,-6.870997712188436,-5.699835726642192,0.8155436,0.51426953,0.45441815,0.26585913,0.24604012,0.0,0.31892392,0.70367956,0.0,0.09304879,0.20334938,0.8017005,0.36125568,1.0,0.22561817,0.16607226,0.96709764,0.62759066,0.320275,0.18284269,0.057384808,0.0018692897,0.055492103,0.0014891875,0.86326426,0.014608577,0.005891795,P10_T12.mp4,0,00:00
1,288.1031994047619,117.62996651785714,79.55167410714284,96.09540318080359,0.9929071664810181,292.8176818986191,294.90720334392336,297.70161046457497,301.80661439546117,307.32574389919046,314.7713022511418,324.2739092424924,334.81475936982997,345.37944946484276,355.2180670024674,363.17109671476925,369.06479585909517,372.245543110366,373.5990154340381,373.8465428250963,372.6824224603352,370.4755569619434,300.6354661030807,304.42423391093104,310.74223430493913,318.3081987557036,325.4270323611008,342.23385903486604,347.8042735087,354.23674836187774,360.3950756150291,364.744032831974,336.1853324112693,337.56819487528423,338.913948506813,340.36531006780086,331.34011758841007,335.8362660718285,340.59358540481327,344.6800933423266,348.2631336044168,308.77484758807765,313.58886459825777,318.5106305642573,324.1111637459917,319.33553399816293,314.36301230452983,346.24054071186924,350.8866229000205,355.76802553600066,360.5492226396942,355.8976968146974,351.09245010832393,326.1237525811798,330.94330945410934,337.19922352030727,341.3412469310546,345.290227432151,351.30644277189555,355.40393420900386,351.9938187693843,347.1972805073079,342.5855715866623,337.9192132259172,331.8911758465586,328.3455193481084,337.38289127761317,341.5714055464706,345.6808839818852,353.46388252211034,346.31338372107246,342.0413659875226,337.68392027120376,164.73877225937017,174.4990309815182,184.0862995850466,193.38439560099272,201.02622386701287,206.39511380510072,209.38512756841257,210.54153611430914,210.1450510241141,207.82430904181226,203.58226567730708,197.20855735825722,188.93864887134737,179.7387582635439,169.90944027219697,160.2106699025996,150.93556500439126,142.8485957072297,136.90257372769344,133.0392445909286,131.54980506513743,132.15441132045046,131.273872130931,128.829146508177,128.21026960766122,130.07071669728737,134.71502042453739,142.22281459811376,146.19299916444814,149.71096322243034,153.518117051192,166.88589865467745,166.72131111944626,166.330304032491,165.57214013617386,164.7379027895962,150.83087465765803,147.2229668727053,146.11431386822633,148.10500443701306,149.40614361555657,150.37689458992148,145.8601056501304,142.89861599402684,142.762861863552,145.38152268076692,146.0154967382665,146.26542290364173,186.0359738623236,177.8798043937469,173.05674214860622,173.53286792078254,172.3017124674426,175.96475769529283,182.81506604275933,186.3643103927668,188.41807360487806,189.1324684615079,189.2691848510211,188.24048869935032,185.10442463385323,178.77489775122143,178.5196310481833,178.08433255234849,182.32341353367133,182.73666942424904,183.28705410107074,183.4367953539959,15.842506615607324,-6.7016831620471615,-5.982049092437142,0.65218806,0.41691273,0.5218055,0.25948828,0.26032358,1.0,0.46307677,0.55973506,0.0,0.057762153,0.18094242,0.44911328,0.40641302,0.0,0.2657945,0.28840494,0.9922051,0.65338176,0.25659478,0.5430537,0.035995733,0.0033324366,0.054778546,0.0015059927,0.88248384,0.016682703,0.005220778,P10_T12.mp4,1,00:00
2,289.23309151785713,117.61081891741071,80.02152157738095,95.59951171875,0.9937386512756348,294.0260569691259,295.95004744595406,298.5019745215363,302.3442903496706,307.7604683069253,315.3734773231446,325.19057231465786,336.08807204431355,347.02049246925134,357.1441777632336,365.11526579064986,370.79719864950715,373.7188443982295,374.843253862138,375.0332424108774,373.8260133931689,371.54216436511103,301.68608276638287,305.6619307656187,312.1742062347915,319.9047811359397,327.1044616367758,344.06255162545216,349.48501694893196,355.73093920813375,361.68397071704936,365.8818389856137,338.00579053998894,339.50249140302157,340.98330803360057,342.57552626346205,333.04923990911306,337.7008857576662,342.63736057860507,346.7835897066231,350.4152599622376,309.843244696357,314.8228524222967,319.7962035521559,325.3539104992183,320.4668456927905,315.43426203446427,348.2465870045401,353.1781659535734,357.9661303807722,362.51397143686853,357.875686668907,353.1100818801598,327.66977073443553,332.8052736888333,339.18397937894997,343.3919676062019,347.40532441177606,353.41661406124445,357.63996684739567,354.1943123729547,349.35338910789426,344.68526413742416,339.95984515760057,333.765302202168,330.0093137243247,339.3711302365709,343.6322003822631,347.8083791177484,355.6479623847056,348.508003315746,344.1862202557383,339.76931642187725,164.24171629273982,174.03490630075868,183.75369068008914,193.3138515448018,201.2969809554943,206.999133218297,210.17364801582016,211.46364188484912,211.10821936280766,208.72771789147353,204.07043084973301,197.2570455827454,188.64787364664787,179.33134394952862,169.49587234384447,159.82516118718493,150.64666977790716,142.5923211579509,136.66694517127306,132.87231281064402,131.4838459314465,132.19515765605678,131.3051038705797,128.80744165455465,128.11529118280401,129.8247846906726,134.30434850522502,142.44487746255888,146.43116679754874,149.94557545077586,153.78205178923506,167.27403541398766,167.22217062571383,166.92373441157926,166.0910122434103,165.13327781530512,151.49474624826058,148.26737176111965,147.1642620751245,148.62553966384564,150.1880954742566,151.14895820040206,146.4300795857708,144.04341040988518,143.9949645265734,146.21507832832935,147.0013341591595,147.13033286228145,186.74367350119232,178.75506700475069,174.0486571365159,174.50062953468478,173.2241813671153,176.73562924864535,183.49106407652673,187.24175325167897,189.2915987485165,190.0023480632605,190.13679308198692,189.10065290638778,185.92900998903272,179.8678453539784,179.59455176693453,179.12160780572864,183.05081168456766,183.50437729244885,184.0847295719415,184.2480711754069,16.059367580631918,-6.480643708239885,-5.0289725166807635,0.81292856,0.6791018,0.41848606,0.24206166,0.31375438,0.0,0.5117922,0.49219066,0.0,0.080941536,0.2801547,0.70839965,0.39625353,0.0,0.19544291,0.24268863,0.95680827,0.7702316,0.49391833,0.6612264,0.045199655,0.003959139,0.10458733,0.0015866343,0.81613886,0.018264916,0.010263497,P10_T12.mp4,2,00:00
3,290.0089657738095,116.73165108816964,81.43932291666664,96.74078194754465,0.9952211976051331,293.7834068228328,295.96755917482693,298.868589721809,303.0901953798004,308.8782169301426,316.69091504064784,326.5165370425915,337.32680226628906,348.09284880910167,357.9864785264164,365.73569077554606,371.2248063597087,374.03760712811874,375.1319580699934,375.21273561175883,373.7019243387009,371.1578676978072,302.36420082270206,306.3387686362436,312.65672933265273,320.14883595223165,327.2002019259062,344.8142105861542,349.9641144665338,355.8609718875653,361.49141011289777,365.52262046172206,338.5583726214539,340.19034328771994,341.7799531427227,343.4792153623268,333.75860624051006,338.47644645265984,343.4177015413319,347.5578861496442,351.1148865216134,310.624313378926,315.54132620979647,320.50581331804,326.0110650361239,321.22569800967835,316.2322288272799,348.35407842485193,353.0329206735454,357.83781435947884,362.31121151715325,357.8880979294642,353.1637465243384,327.96120884906003,333.3582059294088,339.9539821390851,344.15424132488647,348.1604448177967,354.04364326440276,358.0959094689399,354.6460427854368,349.8830809054909,345.2544045963039,340.55791085634417,334.2410434314442,330.29168313757475,340.0714742291293,344.32663917079054,348.4663878543871,356.10369892093763,349.0773190448573,344.8136916281593,340.4244210211773,165.85113641469897,175.63966675888753,185.31021373279677,194.65867461675438,202.28178699256455,207.481303257256,210.2352957056845,211.207477016121,210.73204229839794,208.32575862598895,203.78638460856357,197.1896327578569,188.785073433334,179.61224177372864,169.80448230596923,160.17151481033036,151.08488899311703,142.08111654964867,136.3586428537816,132.6337889780836,131.13430136847433,131.68272579831938,130.7846205520742,128.44766101848327,127.86706465267469,129.50117861545962,133.73960370206552,141.90483689794277,145.9309891361768,149.50823578938684,153.36060283401048,166.81137477181295,166.7296907834165,166.40225596639752,165.5676262023679,164.65970227085933,150.36402174100832,146.64317941061088,145.59948568847787,147.8022513338889,149.05210630907385,149.93823400479687,145.58666396628402,142.55303965160627,142.41823858257234,145.17349728850837,145.8641923227939,146.0688555171006,186.08970248000878,178.0600522498778,173.35713726966117,173.8449577848624,172.6335229998995,176.22059525781287,182.92401027507023,186.43254688975617,188.43892845073907,189.13393775582213,189.26122777280995,188.27326321988872,185.2596949018537,179.18183185164267,178.92316934810717,178.51534447795905,182.4639228751162,182.7215059460223,183.2423875452183,183.4014585498135,15.328297193537557,-6.52034846479006,-5.889993531538637,0.6730851,0.48088104,0.39671114,0.2767348,0.2802821,0.0,0.37478477,0.31035808,0.0,0.089882776,0.18932477,0.6470142,0.4244073,0.0,0.29783928,0.24232632,0.9916162,0.64876753,0.27063596,0.43302748,0.060486358,0.002233597,0.05336079,0.0017139349,0.8386301,0.03318251,0.010392736,P10_T12.mp4,3,00:00
4,290.3933035714286,116.75901227678571,81.07023809523804,96.60449916294644,0.9952292442321777,294.9747519148201,296.89409512818065,299.4708385520341,303.39327908566867,308.9905961942292,316.6450737824755,326.32327239487205,337.0327909400796,347.7409897340718,357.63931732145437,365.4328282818578,371.0985271595485,374.1144834424246,375.43918890721847,375.70533643244016,374.32248590755125,371.86953825707013,303.2962013647174,307.0804290521469,313.2700035203018,320.6612598379847,327.61714335810035,345.1210762806036,350.3254910148737,356.36859037234234,362.1679710655599,366.25328513695996,338.8547385866464,340.3968506076887,341.91198028058227,343.5353710112975,333.73523015046874,338.4870462244483,343.47685282782214,347.69729284042455,351.3636584526823,311.14832033459504,316.0365648267619,320.97423780227876,326.4484794728818,321.68991262959594,316.709789959879,348.78351027798374,353.4746799832819,358.3205715169398,362.84033939684076,358.3677508954697,353.6129912926012,328.0952353278646,333.50468135960347,340.07012581070785,344.2703757026213,348.27655997863104,354.1501093082195,358.1860881771145,354.68018634745783,349.8819095029401,345.2279623096719,340.52246190269375,334.28478561209664,330.38420216240087,340.1199308722842,344.3839364943815,348.52675993419155,356.2353369577336,349.1356972908232,344.8504443651262,340.4402642039546,165.26525434012623,175.02858727045873,184.74415349842198,194.15323341793896,201.8198893387363,207.0850748161479,209.9721791583642,211.07234035483862,210.75112258256314,208.43710811370184,204.00118934898254,197.50958186902204,189.19128669362664,180.03141173398936,170.18374601001935,160.45514810251487,151.25284072290808,142.09679027791876,136.3868624602793,132.686592715684,131.23305949415308,131.82982370050283,130.73701959882774,128.40602628874026,127.84187582970468,129.59867026083464,134.11527695654144,141.97299968681563,146.04014472250321,149.6448758800909,153.509186900438,166.83812140127344,166.80950145606684,166.51514165747992,165.69183109948776,164.81367831428534,149.97406052750478,146.21365054918368,145.22495650772456,147.64370463652526,148.71766082522657,149.55345374222787,145.583427885645,142.38273407137245,142.24719009379027,145.15893785333617,145.75714791278455,145.96234504286681,185.83877312172984,177.97295914185716,173.3613476328673,173.88607657032153,172.6776750451022,176.24939169322656,182.84273057185362,186.3757874919647,188.43836517035678,189.12641159330195,189.2006216878261,188.1241883744612,185.01620190080604,179.1359363503724,178.92945401753582,178.5221552994892,182.36893297580886,182.73270754251394,183.24324397213275,183.36445379318886,15.310528453737241,-6.220051527175549,-5.5430706059600805,0.7332521,0.51357096,0.63310075,0.30557537,0.2391215,0.0,0.51925,0.48324987,0.0,0.089910164,0.15057665,0.60242945,0.4172712,0.0,0.33334163,0.23425956,0.9943901,0.53680384,0.3331231,0.5974359,0.039308194,0.0031928257,0.0780505,0.00103636,0.8514511,0.02045092,0.006510067,P10_T12.mp4,4,00:00
5,290.439453125,116.42071707589285,81.3459635416666,97.20935407366072,0.9956010580062866,295.06136929814096,297.19574217521887,300.03987963349016,304.12667003642935,309.79443373624684,317.4972091122572,327.25208305093565,338.0641050996287,348.89731627814206,358.8780882425127,366.6922430018181,372.29054668296294,375.20659507648173,376.41617281506086,376.5618511244932,375.06349631328834,372.5380232039455,303.5897941533645,307.5125434931861,313.7185215198718,321.11240840143347,328.1211224447161,346.260783621426,351.40069985001514,357.26171397615775,362.8065981054045,366.76415741354293,339.75216433019943,341.3739897131349,342.9546049328399,344.6393754157798,334.8778996464978,339.5816987368263,344.47694743818107,348.60854615847114,352.16680422413197,311.7876651069138,316.600472622943,321.602011144663,327.12734008847264,322.35257566475246,317.32204679790175,349.45835020273626,354.07585617076785,358.96566766145173,363.417721116537,359.0825329261014,354.30417034826075,328.74069329595744,334.32100968297755,340.9336382253877,345.1017190996293,349.08972539693366,354.8989400096517,359.0144774043028,355.3917863063057,350.60696443343534,346.027943070344,341.4018641090167,335.09711935908336,331.05650700559505,341.0219407516282,345.23725304797625,349.34165876195715,356.9733401749117,349.86256718427313,345.64211665431156,341.3090977857804,166.3129928683187,176.19746640840344,186.0041085722098,195.45893122201852,203.15984320613654,208.38982105853617,211.1363633664473,212.04873705115634,211.600104594216,209.29702869781244,204.9173902671992,198.42333046337006,190.05019985409785,180.80791512729067,170.8645709187273,161.0707221917936,151.86146747686877,142.10387145637742,136.4746723204806,132.74826051892506,131.1915234843178,131.70152098227916,130.51342961233894,128.24484558656903,127.77484843769912,129.51320708169155,133.87313736186155,141.90892103259836,146.0417017552082,149.72741095923527,153.6718952358308,167.16739281572117,167.09501255602325,166.79847598581608,166.0157957674034,165.17654978503566,150.00839029302804,146.12829385456246,145.1493108626578,147.7043236005623,148.856529032427,149.69916458027055,145.58917216709008,142.25847040684653,142.11455119498416,145.1369380795519,145.8589016199807,146.067326870205,186.57858255847506,178.77537870301447,174.2221736611775,174.78313805622346,173.59696396357546,177.19262197322428,183.72674470273827,186.98791691476097,188.8040773849738,189.42920364711802,189.523270172906,188.6298919607709,185.75052040393862,179.89639665602473,179.7013106496266,179.33400690524024,183.2468030902341,183.19797248851856,183.65939838233155,183.78571271258437,14.9765318791714,-5.840828978384714,-5.839558100576227,0.8369704,0.49537775,0.536962,0.27517506,0.22681889,1.0,0.3341286,0.393254,0.0,0.0951578,0.16234086,0.58430874,0.3768731,0.0,0.4607584,0.3548167,0.99103254,0.57550514,0.1629132,0.25060153,0.062060505,0.0033480916,0.06620712,0.0017420833,0.81840223,0.036130738,0.012109269,P10_T12.mp4,5,00:00
6,290.67974330357146,116.08302873883929,81.30340401785713,96.858984375,0.9953721165657043,294.9831632421761,297.23407597734723,300.15320318184456,304.2920139120346,310.07022426001856,317.91062630302406,327.752961215313,338.58486271196176,349.31188974275386,359.13901099887806,366.80145621770197,372.24750173942317,374.9479811318139,376.0420896430979,376.1781327059878,374.6853792935064,372.1572104913382,303.21483024683914,307.16183182793804,313.34585398390556,320.78971374167264,327.84403185152115,345.4810481675355,350.5791748310639,356.4488957365523,362.00159619299825,365.94802968675407,339.4440809626518,341.1151306661418,342.73911225488547,344.4756513444068,334.9446698635178,339.5773320840871,344.4212673731441,348.4908857577307,351.9766558393663,311.3355210426277,316.18553902299277,321.142831984634,326.6423920268672,321.87015351724943,316.8576036696475,349.28216214776177,353.94222419079523,358.7795779801453,363.20677963565237,358.8362343007805,354.08040104516914,329.27980333232915,334.7395626210714,341.07014091972394,345.12916655372965,348.977701971318,354.6523195139146,358.7861317682745,355.25733946223875,350.65691273444463,346.2278821148085,341.7164857583134,335.59316234938007,331.51232077581943,341.2190075152008,345.3112939703571,349.28480860343336,356.7860625025923,349.8819446078981,345.7896650806362,341.5646886634933,166.47694515006347,176.35575542651782,186.1562527843538,195.59227361631312,203.18174732312295,208.2791811972085,210.8200696135472,211.53658016690719,210.9778593370478,208.52698505301694,204.00572337485585,197.4149749288402,188.97140268532291,179.78565203958854,170.00114426209325,160.33980059174556,151.21847243630063,141.6652247027188,136.06468713524484,132.24808931097124,130.5578839793868,130.9935480844622,129.80015245417798,127.61565224697081,127.2102890201515,129.0359953068869,133.35976003463114,141.43921600278202,145.63251462265117,149.37285711295172,153.37786249015215,167.01055929051446,166.94200777514573,166.6211769841678,165.87230623593288,165.02510095418162,149.8709484747212,146.0144182669624,145.02584929940025,147.43140129808071,148.6592181718323,149.5332274771269,145.2103148803973,141.97788057827123,141.85768507388622,144.81001421243153,145.56639133427956,145.74166359937018,186.31837244187216,178.79461674160987,174.31851800722734,174.83715403992417,173.67696034368794,177.16714349407437,183.43096460201514,186.63853815498493,188.40626662522288,189.01820754008102,189.09713011340904,188.2666072014413,185.4890411277461,179.73169066988598,179.53718310591498,179.16809953024344,182.96928278941394,183.07425424579264,183.52753252245216,183.64338770097785,15.131361788056338,-6.001336270815173,-5.792257601955954,0.81413627,0.5389286,0.603555,0.26595825,0.19646636,0.0,0.35190612,0.561635,0.0,0.06739592,0.11679558,0.5281216,0.39188012,0.0,0.3690116,0.26317272,0.9941057,0.5268642,0.5099159,0.5280504,0.025788046,0.0015815917,0.12552457,0.0005783046,0.82803917,0.013616469,0.004871961,P10_T12.mp4,6,00:00
7,290.42224702380946,116.45020228794642,81.39464285714291,96.83422851562501,0.9945428371429443,295.0766554373443,297.16698209539715,299.98761136250647,304.0108823686106,309.60415671748007,317.2365165293591,326.96073886723275,337.75666111152054,348.63107019015837,358.61466201027173,366.3292002804602,371.8610052810366,374.7180590329542,375.8578842925864,375.97575999271027,374.4749520892826,371.9722734591017,303.0882603498201,306.8741003706669,312.78665170916315,319.93879911992946,326.83408084219224,345.96177672701555,351.151888338444,356.9446142729804,362.3182750899428,366.19991725451797,339.2306995466493,340.92756523510576,342.57162615608206,344.3339714184836,334.63701030369515,339.3161748398644,344.1825802055271,348.2740492891487,351.7847351917265,311.17583618219317,316.00311933784644,321.04582572053727,326.60992031004236,321.78017838045736,316.7042543082552,348.99812704448374,353.72558051544723,358.6571745578574,363.09796961900093,358.7024644810673,353.85157363260765,328.49698081977215,334.1060467307946,340.66364528956143,344.8048716462126,348.7333344073467,354.51190334493543,358.63348721462785,355.02835668857693,350.2682881008684,345.73888021245034,341.1175349573571,334.8223256707857,330.7978356669012,340.7575219708869,344.94513257830073,349.00285758700585,356.5829320906861,349.52585611759235,345.35777025303355,341.05112035670567,165.50012479886314,175.40877595998714,185.27850230562868,194.80497688427818,202.6118334579481,207.97771623793773,210.82846029111784,211.85437159341194,211.43364420613756,209.08800850589427,204.54335621909954,197.9377111398698,189.49008422734582,180.19578024296456,170.26170328154944,160.49195899532018,151.3084972323933,140.88586535380705,135.52541958096222,131.7683731880806,129.90252220080833,130.0621918631786,128.93660325091727,127.08475861740112,127.0521157961611,129.0730738617825,133.3408214525301,141.14857669075676,145.3030561852061,148.9974125004835,152.985775842881,166.88218431057425,166.79965261995343,166.46727486725098,165.74916050446586,164.93113680656782,149.5320607712197,145.70272469321458,144.70629443666797,147.17459871467102,148.51714122731894,149.37208116481156,145.0984688787775,141.93369437471225,141.8869534285764,144.90946188772753,145.7246216334544,145.83000260633085,186.26624373992922,178.65051355117717,174.15457961884925,174.7250844322461,173.54550322228127,177.12279073085188,183.53640210295228,186.79752591452228,188.63355128139042,189.2564729993373,189.33698226182273,188.4083622198635,185.4711732161431,179.8304479934533,179.65784206344645,179.2820513670707,183.0731275374735,183.04412785732669,183.51419695020553,183.61200074369802,15.348244488938898,-6.005805211349011,-5.461252552997997,0.80903596,0.55826515,0.5604544,0.26008716,0.21958975,0.0,0.3805917,0.5679664,0.0,0.094648056,0.13155824,0.69358516,0.39194962,0.0,0.2509762,0.24915801,0.9581861,0.54105103,0.38609695,0.5311675,0.046207253,0.0021267536,0.11954433,0.0013050883,0.7915508,0.030525174,0.008740545,P10_T12.mp4,7,00:00
8,291.00985863095235,116.21210239955357,80.77775297619053,96.51665039062499,0.9940821528434753,294.45901080996134,296.43493381439083,299.18824105382157,303.232813649598,308.9537099374169,316.7157474583919,326.51962000510673,337.31657206873075,348.11438015504524,358.0108239619796,365.66399817798185,371.21266131980593,374.1619080110292,375.45714627913566,375.68380590006024,374.22037298010326,371.71336555961534,302.68309520735306,306.50839137790973,312.45307546859505,319.602780629566,326.4486978348643,345.2071476097407,350.2526627050423,355.9729514928874,361.33648592108995,365.25927203063173,338.7115369802715,340.33593668307196,341.9096998823704,343.59166020769294,334.16275666472285,338.77486194913644,343.57183361763737,347.64801347057585,351.15498655824473,310.8109271017859,315.609735077026,320.6453161670735,326.1265019396432,321.3706193602826,316.3150632568904,348.7569287353395,353.39524626294286,358.27338821204046,362.66530236956913,358.3730596282044,353.5652219942621,328.37734457002216,333.8435223318743,340.1898260359526,344.17720734157734,347.9729016952265,353.6558844619502,357.84601888384685,354.3081806554612,349.6790929854151,345.29473115710675,340.8200796451852,334.65594999576473,330.65158285280296,340.33217432527937,344.36395835626536,348.265930688294,355.78473695553504,348.8914830761381,344.8827564305232,340.7205255869708,164.87662958645694,174.80750069304568,184.6962195855399,194.216324062084,201.99257225006087,207.36082860987835,210.22806280463203,211.30017599711624,210.91572516139328,208.53062503679388,203.9620250345984,197.34635031938868,188.8822119621603,179.60122085600477,169.66198972136678,159.8654727567217,150.62862549809765,140.3287430295531,135.0368625329251,131.3828779032893,129.64095802088877,129.9322456290881,128.5766387769326,126.5332125154658,126.26103699451191,128.03084492258694,132.1218205064226,140.9056954194893,145.12239070671984,148.87736875530356,152.90415126661856,166.5469231509181,166.4984681245949,166.20422413157965,165.49456751440152,164.66259630021605,149.37074847838284,145.59045217804808,144.58544357074334,146.9663084540478,148.42334536575737,149.28573645079243,144.6535456984935,141.43526281146532,141.3052267517222,144.2279332878379,145.2156074356616,145.38091991434075,186.06228682787008,178.72871282538247,174.32711318531622,174.8712743834822,173.73958477310802,177.23119777621085,183.4478347529165,186.85358315744284,188.72740992336963,189.34259339120555,189.4152241551244,188.42175459561835,185.30958745686303,179.79245218299994,179.6266184969569,179.2778928017415,183.02743096419576,183.21295317211855,183.67035923197366,183.7657919551382,15.531777365795804,-5.7844198006069485,-5.144065538205222,0.7466137,0.65156466,0.52656996,0.3271021,0.21379684,0.0,0.3648282,0.3344472,0.0,0.073805295,0.11560793,0.5843921,0.35802323,0.0,0.3131675,0.3340445,0.99273866,0.43959194,0.2747849,0.5314608,0.03577513,0.0017143487,0.13324499,0.0013975817,0.7882452,0.03064784,0.008974865,P10_T12.mp4,8,00:00
9,291.25383184523804,115.98216378348214,80.33809523809526,96.24690987723214,0.9934825301170349,294.1464102713228,296.04996629154834,298.7430081606967,302.6922771851646,308.2630961615287,315.85512929628186,325.5323988630975,336.25250865866764,347.03881610839295,356.9607815588345,364.72424637855033,370.39708794586494,373.4460902145798,374.80014065042604,375.06451822011996,373.6733004449659,371.27660941971317,302.56344440659893,306.43273033572547,312.3344652996534,319.4354992261974,326.2350846213559,344.70486002722475,349.7513778868963,355.4225259618105,360.70563710122485,364.5993478719636,338.18777807773677,339.72449163290025,341.21195622614334,342.800906449332,333.42214589660523,337.99555980617663,342.7656666623498,346.85611856849846,350.3763867284886,310.7391644799633,315.5355514468621,320.52836287986025,325.87268413178714,321.1894685808081,316.1989943050049,348.1203106453922,352.71979470016805,357.5673891598324,361.8873024021189,357.61370548857155,352.8476258399359,327.74142201710174,333.1017935841975,339.35646682100986,343.29313447214884,347.0505122205404,352.6470158316438,356.75202764196655,353.2341345018062,348.6624485052124,344.3303572626971,339.91185660306894,333.868505058187,329.99773216012346,339.48376099977276,343.46419097281944,347.31555754943287,354.6949438000317,347.9050581235405,343.94930770437765,339.8377284479168,164.12454652153355,174.040619169151,183.90394572420013,193.40054856517867,201.21275980638706,206.64704612105604,209.5696422619008,210.68754000139307,210.38505885269026,208.0841534097915,203.6701824981287,197.19509365287809,188.7999699360465,179.5590982157582,169.6383099490584,159.8383792131768,150.58417984537982,139.88166240683898,134.6647506426087,131.00138581684303,129.17678715875698,129.38939445924743,128.19285258486863,126.3023677788514,126.18073234298735,127.98061014249696,131.99560009612523,140.57440750238933,144.81206589123641,148.58180751097396,152.6297740986306,166.08872234137198,166.08501180314508,165.83043721385016,165.15872653305345,164.3427660971436,148.9806903703634,145.21885171516098,144.22265136857183,146.60358465356236,148.08870864755292,148.9290388521514,144.38836235359653,141.21303312433932,141.12777679656423,144.06001069903732,145.04850427838159,145.17559537573877,185.64498670999808,178.32806003886574,173.96378555662747,174.51920287514835,173.43472751615985,176.97816072463507,183.26529256578834,186.48111072005736,188.2490204084518,188.83141657541637,188.87634919695043,187.9038508598513,184.87770385442633,179.32808106952896,179.18125665523792,178.87375010225753,182.80238399066778,182.89374997090366,183.31351579450686,183.37891489127,15.303292423978391,-5.563332057122329,-5.193343908598224,0.8353912,0.6279282,0.6124196,0.34206563,0.19022594,0.0,0.36516044,0.5024268,1.0,0.06362858,0.14391324,0.6007791,0.39466673,0.0,0.31887668,0.48125094,0.9880647,0.46343637,0.44235533,0.5286938,0.026025897,0.0023995428,0.111498624,0.0009622922,0.83307016,0.016792824,0.009250709,P10_T12.mp4,9,00:00
