frame,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input,frame,approx_time
0,216.58087797619046,22.509898158482144,123.13344494047615,158.9804966517857,0.9986889958381653,216.8723357299812,220.15526677813114,225.11961311769738,231.17768987691394,238.4886820818993,248.23989920598189,261.4460363431435,277.54960476683254,295.1073071968788,312.18073418637005,326.0160154856203,335.85086188855047,340.5179885543769,341.87091913674294,341.34367204009095,339.57083821753105,337.0527719457448,222.66676051294365,228.8023801316043,239.30989669731784,251.3194000007382,262.60289381990475,283.39617205549297,293.08016850082004,303.82441295209605,314.4863869794871,322.70761869948956,275.89042011518063,277.52238786848164,278.9299739853885,280.47386064630336,270.3289565173091,276.07798758470153,282.37474522814017,288.47692507499164,293.6565617995496,238.03676330909335,243.80710963696572,250.93017618053625,258.99371249785213,252.20870518951176,245.14279015256824,293.32841254005075,300.410741862672,307.52908368459435,313.84566696508125,307.8951444289907,300.75162683395405,265.51430027588003,270.80270225330054,277.90543714270297,283.7217514302928,289.6287906075808,298.42324306953833,307.11776567868293,300.0322524281159,292.5742423502336,286.3004374159327,280.4653550102196,273.15562500524135,268.98550949175313,279.03591918778477,284.6167308335126,290.6223466942366,303.3835981280011,290.9562838798941,285.0404320448989,279.39324687267253,101.17502798402683,117.85137367399277,134.17196090070132,149.89435629342285,164.1066146614549,175.70934842745774,183.3938949786832,186.76786930932596,186.01700813033818,181.85241900607014,174.73628319136733,164.0119382897525,149.85336322112076,133.88319000718917,116.71978293971559,99.33935706922253,83.02465442362808,67.17741494191777,58.42216459279282,54.17987625547619,53.72881316330567,56.60165144924474,53.95629628665412,48.254734173582065,45.540910346192874,46.80481887175303,53.637471387567935,66.9229110729222,74.7191566391888,82.18619542703166,90.21715902434495,108.05744074516596,108.50441874407032,108.58526777155099,106.95242443806492,105.05342747065306,79.9860329894615,75.18319139494561,73.50901953960603,75.46873287582704,78.01494279641992,79.68466852380661,71.57663112786265,68.02594879622838,67.81629282658355,71.12683876407765,72.67119732859878,72.88565193250476,139.18292904233095,128.53656763304556,122.5919239924835,123.32427290470072,121.46027640235012,126.0449165920381,134.74664852374568,138.07746925955172,139.17560600805564,139.98663205404765,140.32164950097246,140.48242649106376,137.57926413423382,128.95278661375932,128.4858522093376,127.80202408477996,134.109953903957,132.73955720257413,133.49154412751417,133.79265274181628,10.456661373212501,-8.291118270560844,1.696607549381487,0.6651644,0.48324332,0.7454518,0.37001616,0.19893485,0.0,0.5034365,0.7150808,1.0,0.033634864,0.08814748,0.907287,0.5994687,0.0,0.39684653,0.27058077,0.6213908,0.6773739,0.60740036,0.54021686,0.23385018,0.13411249,0.06508651,0.0002759507,0.2118788,0.17788538,0.17691071,P9_T12.mp4,0,00:00
1,216.240625,20.58145490373884,125.48567708333334,159.18626273018975,0.9984411597251892,217.87278597386558,220.91953879677996,225.60461000153882,231.27731881661217,238.0212205867517,247.20733856899543,260.0863841802022,276.328918114649,294.5140782336717,312.20859194079617,326.37118017913514,336.2219437254875,340.5702260333213,341.28165052144885,340.07088649534586,338.1806240132316,335.7349692627182,222.5623944553,228.48631298081742,238.7184753363027,250.46537648337565,261.6093948199826,281.4066886231468,290.76572979111205,301.4581040778085,312.1679557037697,320.81819113802493,274.89352188896754,276.67232790589486,278.24231102980326,279.9058690805826,269.9896139020149,275.81295517906676,282.2588313106048,288.4401961671411,293.6235195574977,237.23215572308936,243.11707757956341,250.19456881188313,258.65821230094633,251.77754892782454,244.843810234193,292.55455539015855,299.5397298363166,306.57346509808633,313.3053149049609,307.1070989330424,300.0071319562872,265.0779692036419,270.15531274131075,277.43146496092055,283.50082682960874,289.5299737391551,298.7580544144672,307.2033210790528,300.4389190161797,292.84858458180116,286.30823403817925,280.0290871688709,272.67666088037885,268.3557559420968,278.6957711289728,284.5644624010027,290.746225763646,303.76660441217695,291.0028067671182,284.8230587067875,278.7988817376901,97.70167955636934,114.32478113006877,130.65100703993264,146.60834153947945,161.4414219958113,173.95986512372681,182.54070356591805,186.80897723335252,186.4427159633417,182.5253098442986,175.3390036729869,163.89690276833468,148.90412383608972,132.1212213134783,114.46109299044458,96.74735990307333,80.241248336504,66.65257720759571,58.292277737969584,54.156336562785185,53.581480117530866,56.197826419566404,53.11305326757083,47.281753254267485,44.36578444273021,45.56738282837187,51.91197578634048,66.16962765650725,74.23730409175407,82.02421020283305,90.45501109573406,108.43995036070487,109.00831115641489,108.91035835531122,107.27815704220939,105.02206595385755,80.32140499345738,76.60033714039491,74.63216671435961,74.85005277484089,78.06521143210658,80.00554905303926,70.48478272095956,67.98552889905307,67.66742424560253,69.86299364218796,71.5048729607458,71.83862182536878,139.63775241683805,128.4864471114172,122.40918343592135,123.18671439425785,121.15401444360843,125.63842643759773,134.628621738801,137.84617143270876,139.1943062068433,140.101943716175,140.39411700794778,140.42738657493894,137.8968044800769,128.98908855713645,128.5594420443331,127.70700332376704,133.96461947740798,132.8468440049042,133.6809514445477,133.93106526319752,11.008026292008875,-7.795478344747108,3.0406505300313738,0.5598927,0.42556125,0.7857918,0.38690498,0.18617824,0.0,0.45337984,0.18178046,0.0,0.034247827,0.09008645,0.9521318,0.7057979,0.0,0.6254618,0.25456673,0.443442,0.7329724,0.25507388,0.7754782,0.38807204,0.38199973,0.0065814634,0.00015587796,0.13004847,0.011802866,0.081339516,P9_T12.mp4,1,00:00
2,212.99942336309522,15.56120387486049,128.3454799107143,162.6979758126395,0.9983229041099548,220.84038035788785,222.80182529870646,226.606401129663,231.5351990019402,237.4879772284561,245.8557375900664,258.2761236643372,274.4183402113109,292.6786133342031,310.70780341771376,325.7291726725256,336.8716052442268,342.49979078699766,344.1227192945247,343.33242286393306,341.69873007029605,339.3883302479258,222.2794286752587,227.67436086582697,237.20637186675432,248.31722144115577,258.97102524586285,279.61902067659275,289.2042159787027,300.20951736389657,311.3782846161024,320.5936888698717,272.1777220555981,273.44179253835233,274.494155696723,275.5919383239445,267.4872862075259,273.05798464393666,279.14976762459634,285.38564075727027,290.9299928761103,236.35385786244728,241.12558443551507,248.39687133983622,257.0758417592171,250.33025931437265,243.3047239712076,291.3925313409873,297.86770910021744,305.35534651828203,312.57550597284745,306.5850003781497,299.10790614193974,262.6365265002791,267.22109995836,274.0092915206007,280.13164507381254,286.26876606386065,296.29201544384733,306.13352876310023,298.31923890059716,290.09565015046337,283.60238839056865,277.48513769082615,270.20350543477343,265.9842311175322,275.5539258476439,281.4177387040944,287.7198849280072,302.4845870536941,288.1260999931307,281.9364027386019,276.02817120098206,99.03566810336767,114.90535620017016,130.57520096144208,145.9995618140774,160.52269008532542,173.05376211347144,181.68559077822388,185.71870694962675,185.15401831883307,181.61631532394023,175.53271320072406,165.37810461899812,151.2030409937478,134.47779579986232,116.4878691772542,98.42505960988234,81.75632400880744,66.8012453008337,58.48407708394001,54.42304359104774,53.882874258452546,56.52493046366919,51.890835470949625,45.73512426786302,42.68334151283788,43.743358951412624,50.207016015238594,65.84077423464363,73.58702217186594,81.0892582893088,89.2229565226251,108.08119446672322,108.34091050715709,108.16034979009589,106.56038121391467,104.51678440521171,80.49017630976064,75.34317763023569,73.27504988626815,74.96952889449453,78.34254994897155,80.41107335318527,70.29323208169102,66.18815229374354,65.55371690749055,68.94400736800772,71.05609994756799,71.59393022988415,140.4721649004937,129.0252252210752,122.5769174473887,123.24434973446836,121.03610007801477,125.46304947624813,134.38438507056028,136.96614963649532,137.72451395780521,138.6040899592459,139.23329448430275,140.40684604867207,138.54346084504837,129.44938464207053,128.74988060091633,127.78711121417847,133.63452744454375,131.53542183071178,132.3962156075239,132.93520959644655,12.392726424047977,-7.635451327590951,2.6541783017894187,0.6106021,0.4950251,0.64706516,0.3879959,0.15505764,0.0,0.23454432,0.00868719,1.0,0.030581018,0.10674608,0.9411235,0.5391781,0.0,0.38706225,0.3019513,0.2880791,0.5664637,0.20758988,0.4742534,0.8918807,0.028831886,0.00018542919,3.3094322e-05,0.025138393,0.0005437089,0.053386755,P9_T12.mp4,2,00:00
3,212.3180989583333,22.71625017438616,127.27959449404759,155.93916974748885,0.9988644123077393,216.96594035891374,219.5662438900179,223.8978904890733,229.26836467849472,235.4946436143601,244.083146088951,256.42626445890295,272.16957512777554,289.44329885393194,306.5321565973904,320.9735978403691,331.66898918241867,337.0288367426799,338.82741673242066,338.6325292054556,337.500156048292,335.6806852934849,220.67016690356533,226.15573270111759,235.71870905985884,246.83363336357849,257.40834233615743,278.08827017243084,287.97805650689,299.13091433543127,310.19855836519656,319.1238003422541,269.6655553817412,270.6796442017296,271.5117000632202,272.4199241225957,264.9147801404144,270.07239550270356,275.7140397417704,281.832524337548,287.2795933515302,235.2518344792222,240.63388335708336,247.45837096790305,255.36074621140725,248.790896169443,242.11501963910644,288.3225700954492,295.2530284264482,302.4697560453248,309.3473461294393,303.0259991551097,295.8324711044863,258.82386733921453,263.9707305939095,270.9785672925798,277.1590159275066,283.3279149696805,293.13810893920964,303.06848336447325,294.9288479210263,286.6932354175706,280.248618429619,274.2314144489965,266.80681646784404,262.0551823963463,272.4769638303104,278.4346464186334,284.7759026378341,299.52220628420855,284.921067243995,278.72932555000267,272.8008097265748,104.03111080211747,119.48807968446178,134.6622926750823,149.48989519309004,163.1152247009329,174.25023670774098,181.28184738705147,183.72944645231246,182.52139585736148,179.17886229309693,173.77076409232458,164.86959166732964,151.90606330482342,136.6031261713137,119.89897972986842,102.7985779704763,86.8687840413112,66.91322368600714,58.55303061639591,54.34784676000693,53.64274718969011,56.31910738229339,52.79783397132272,46.97238334522333,44.45014691897294,46.005940080852916,52.74830623919383,66.069434196727,73.62127846365635,80.87132200098105,88.61404963862401,107.80439788846685,107.9740224240408,107.82084950537714,106.35578561655254,104.50578735294309,80.75229594683998,75.45362609420782,73.57313935953108,75.51828373707488,78.19080707800552,79.99553829942488,71.20044813099516,67.32418507642599,66.98977110760393,70.60900413784158,71.98684657294523,72.31792560383089,138.97076480157142,128.1175829344847,122.09586730705529,122.66016334389725,120.59269143519175,124.72723372161376,133.22519095818592,135.23265629131356,135.6550111235452,136.48207573176978,137.10441530379893,138.53157912871768,137.14314073695994,128.43648776885675,127.723625266086,126.80887075131999,132.50879275198426,130.0624428942446,130.8420376166589,131.4451817766863,12.82369785503071,-7.332564162434716,4.181030696097682,0.6233448,0.5737084,0.57247525,0.36734018,0.18445969,0.0,0.2099789,0.048510373,1.0,0.043439277,0.10681793,0.9168599,0.65719986,0.0,0.38994682,0.33159328,0.3297617,0.5567519,0.30987504,0.44504377,0.34892347,0.29023826,0.0021021615,0.0001231404,0.115249924,0.0107392,0.23262385,P9_T12.mp4,3,00:00
4,211.72721354166666,20.477443150111608,126.43777901785714,158.38914446149553,0.999152421951294,216.31574927176416,218.32916215101238,222.0882412912235,226.81265948607654,232.38251759303859,240.6834387877842,253.08427397441338,269.03660367063026,287.027479354019,304.9502118577096,320.3010746171109,331.93449184983245,337.98526634079735,339.83826235811273,339.2684766186415,337.9288598750089,335.953262778609,219.27535257564855,225.1324599582277,234.9271527231974,245.82642490621308,256.2112132502889,274.899755007718,284.94286449897635,296.3810625675152,308.0721324422125,317.9086089282997,267.3009238124777,268.1610346169739,268.8689476579364,269.6523506536652,262.2911879150979,267.56029839255916,273.24881513030397,279.47067828291506,285.11263901118866,233.27680194725374,238.70602907147546,245.74800077296942,253.638930002083,246.97320721373046,240.13407900891076,286.4650573829274,293.59573417121055,301.0445823978683,308.1275759536743,301.67213406805956,294.25115487250036,256.76085058658595,261.59381639179276,268.4456442648488,274.6173205037337,280.90683969444245,291.0544184012598,301.1278156383076,292.6767018908024,284.2614553597435,277.6893940407434,271.5760105252395,264.42022895121886,259.93922295237496,269.8918260658098,275.8729902878378,282.35622190243004,297.5546433274975,282.4735550549046,276.12415143395725,270.13958288516295,98.02475274617896,113.7668468551558,129.4302845889632,145.03130022465967,159.7459673826794,172.25797281409294,180.58342668641737,184.1704768684046,183.2914241858609,179.99092655371336,174.34423035592792,164.8125232497643,151.07849479130462,134.7448068595782,117.1561288762135,99.245087770935,82.44513735428129,66.47750234870908,58.815733591571345,55.76168429378025,55.92788454610977,58.99381783317822,55.35263262472589,49.13378578493185,45.8342907581714,46.46450471385381,52.472543858249075,67.32390521514465,75.05293916421222,82.49407809182011,90.47174118357198,109.00789258660204,109.21995778706258,109.05540588596267,107.5757642543718,105.74096240939144,80.46105493093305,75.86596716657617,74.11241034457261,75.65423616791131,78.47963479307593,80.21605102806646,71.4768440037991,67.74624565390573,67.33929549105818,70.21058172210267,72.11860774696318,72.51380986702652,140.07829366598952,129.38568281033116,123.3467583220203,124.0350214302835,121.72039643768278,125.85949134178344,134.27536096093598,136.10744387605308,136.4586842988897,137.34938306434765,137.97569988722606,139.42536531707438,138.22904750611056,129.87630237528356,129.20869180510678,128.20149822388214,133.5128937251544,130.6163044530699,131.46233346664926,132.06115511128533,11.151229661556123,-7.612889556354686,5.8696700377514635,0.42887902,0.5919842,0.6504722,0.3881616,0.15672491,0.0,0.28840122,0.0032175728,1.0,0.025661781,0.09772038,0.6982027,0.6694004,0.0,0.5983159,0.3688329,0.2581935,0.34797788,0.1994643,0.45479736,0.7929315,0.09417787,0.0004476377,5.530735e-05,0.041859128,0.0012530512,0.06927549,P9_T12.mp4,4,00:00
5,210.85985863095237,20.654983520507812,124.59356398809524,158.0603275844029,0.9992440938949585,216.60277235791125,218.16001443533608,221.48088633594512,225.7796206231082,230.9544380065668,238.8671129279336,251.10141830792173,267.0162839564109,285.0184348012941,303.08939004044714,318.71756317590825,330.7004600577411,337.07138971789163,339.03570656126664,338.43518868173567,337.2100159884367,335.3956759926436,218.94923283176763,224.65011950169688,234.36287836542687,245.16051045927992,255.3601514205818,274.23859733717825,284.21767646311906,295.53941353790475,307.0234389925365,316.5862775354626,266.51857132816036,267.2841360943075,267.8730094575556,268.4984839096056,261.1368433262452,266.3635862080412,272.03333510226923,278.2818560245038,284.0093752859219,232.6687595212384,237.69080198160046,244.74896159884526,252.66671262488296,246.15474865344154,239.34906589045755,285.48254225998056,292.1463371573248,299.54658553010876,306.57514772635477,300.36355574823494,293.01821748767065,256.43163345697945,260.7167023955435,267.2171518622916,273.2560262700108,279.46864703549153,289.7407835896714,299.9389831181324,291.6279866024,283.1378680323113,276.62408389861594,270.6355691974814,263.6438511551831,259.7315310965847,268.67442915903405,274.48723602320797,280.85963537958844,296.25687401591216,281.29421324940984,275.0479703563316,269.20912160549966,99.40042260557372,114.8752159814129,130.20608087492388,145.43917705308064,159.85325674374494,172.32485023272582,180.773455536998,184.63455102930703,184.09847367677867,181.27020155734354,176.47284173446403,167.54275263992588,154.12215368459704,137.81278765193983,120.08681533936328,102.02413562052008,85.13085927572958,67.71125079495039,59.711931628154055,56.4322253536763,56.55896969547046,59.62308283837969,55.59856843066305,49.42697762704626,46.324929363372576,47.227065651681755,53.58923366123108,67.90773222285259,75.47870842344894,82.76188983884474,90.62382632421365,108.95656837797604,109.22223292956119,109.15975953443545,107.73627959830249,105.95025951832373,81.76375129699612,76.79676591847667,74.92429943679164,76.60345564282433,79.70583176181083,81.59192119701133,72.34571174878054,68.40769461687044,68.00781853610776,71.21517618733053,73.12623350040565,73.528201071957,140.4098991651253,129.5951620682275,123.47809416840056,124.23376674838497,122.03470550103047,126.41503336600228,135.281348949519,137.5150158904095,137.9576997002065,138.74114953893576,139.26635113936297,140.36926771704677,138.650729304731,130.32063804336562,129.69311166927153,128.81475337015854,134.51026716983202,131.76619733901367,132.48587366672155,132.96802447296872,9.82416250646196,-7.997429144560423,5.962186154595495,0.4664926,0.6391396,0.50100607,0.3795589,0.13363467,0.0,0.2904734,0.05138566,1.0,0.025306253,0.1922159,0.9150093,0.6641966,0.0,0.44856277,0.35178998,0.14354911,0.46280438,0.13015617,0.3641906,0.43454254,0.47461283,0.0007097912,0.00011793564,0.035907406,0.0033462327,0.05076332,P9_T12.mp4,5,00:00
6,211.8715587797619,21.906866455078124,123.80638020833331,159.45629621233257,0.9991388320922852,216.75681005992266,218.4861410834469,222.0798407348622,226.87808950347326,232.49798620916144,240.57415877174654,252.49623994386909,267.87074451696,285.75865360913303,303.7957313522786,319.1144815901543,330.3481732178874,336.126881673745,337.8638712911318,337.37136040689415,336.1272694506494,334.04981171117157,219.24447303567243,224.89690878572367,234.44407881966148,245.14552953825736,255.1684676183238,274.47247523686474,284.19165854352735,295.3372449775329,306.637748284859,315.88346739641344,266.5827036106791,267.3125339604289,267.8721017361255,268.47117143266024,261.3126501040068,266.52481079988803,272.2816782918637,278.4250510081286,283.86817276880976,232.85231165298444,237.7887800776193,244.8371955758203,252.67482831616456,246.25794172243985,239.47522183499308,285.5495620212228,292.41386332624023,299.83614138112574,306.74815065059136,300.64433688118,293.2224466031989,257.2450471571651,261.08707799765824,267.573513519713,273.5515450070501,279.62004256515047,289.7244366055537,299.7426073107362,292.0302037001173,283.7612603952173,277.2399705725759,271.1963762753822,264.14124311257206,260.4657453447278,269.1448938858997,274.85941956147235,281.08924941962096,295.99899767014875,281.8148826546404,275.65685995503014,269.8029798057281,97.5221094491948,113.40367224304094,128.99012540741145,144.38827866907116,159.19704525160373,172.34370878011717,181.86347211107415,186.74354180652034,186.6410660569227,183.1806590138043,176.75324541764462,166.12219331500773,151.6613196417658,134.79154162258448,116.86276768780613,98.90469378633705,82.18086815086201,67.63382816841472,59.758792064597436,56.51319061612809,56.77909722313911,60.033560514395035,56.37294653655912,50.04515453792843,46.677448985375364,47.29729611060571,53.42752433033071,68.53144616315124,76.18894512618384,83.54685221493368,91.49621602716807,109.32634636058081,109.79056093599793,109.86575543984848,108.37991979929973,106.43927887586786,81.64447004520524,76.7031772196711,74.83295202000282,76.57768006767363,79.73087085825595,81.60269278635425,72.56104127075704,68.6495869591676,68.21545360685163,71.36301592971817,73.49307446576188,73.88681629140007,140.6273901458304,130.0294929685224,123.87472075178746,124.6248067421923,122.49204517302064,126.88799821368991,135.71360667010478,139.62021947299039,141.03680272048885,141.96576791586742,142.33931112686594,142.35556354124287,138.9411194665027,130.53769741218636,129.98154549480972,129.12909780683796,135.1690424390488,134.31227217911294,135.15251629979818,135.562305246158,9.908988507044759,-7.608077046457069,5.1144934719076565,0.4620912,0.63586813,0.7100679,0.3475712,0.1431196,1.0,0.37579954,0.01671162,1.0,0.030941697,0.054174185,0.76841336,0.68666345,0.0,0.47812873,0.35128698,0.46383855,0.4826983,0.16070735,0.33893836,0.44764,0.32411924,0.0048870747,0.00014228682,0.08224306,0.017639274,0.12332914,P9_T12.mp4,6,00:00
7,212.309765625,23.453670828683034,125.56802455357143,158.83079485212053,0.9990590214729309,217.20742544214622,219.3199576345453,223.25366872646268,228.2712049795255,233.98352447325698,242.01951321788584,253.88678995357762,269.2068069882243,287.0263532522757,304.92261672788135,319.93323153289964,330.92663867771665,336.49663996209733,338.0589195734895,337.54944821714975,336.394918369878,334.496164543794,219.37807208674516,225.05922130812337,234.82830559675656,245.78902300719665,256.14092180599675,275.0362131013671,285.2203916939208,296.63419279898744,308.100888223171,317.2402449666731,267.370473230093,268.12916475946287,268.7205166581212,269.370630555412,262.42768314812776,267.4863329194216,273.0960731059224,278.9921878620751,284.17109382216034,233.82268870802974,238.6924934907754,245.74990325034975,253.39046833400286,247.02951748349707,240.24194145838692,286.1158234449511,292.9554815160216,300.3030431994375,306.93466845872337,300.99030581311837,293.62213624850017,258.3564564829004,261.87595086672025,268.42448569430053,274.3361188439056,280.374597251264,290.41255531517646,300.13668056860666,292.93710028570996,284.82527476546574,278.32816875718146,272.35589913242893,265.1425726884215,261.64890631888704,269.9912299679378,275.60004427664467,281.74698671144495,296.32369996484124,282.8368527991776,276.73369359158454,270.9673380521314,97.09874570642828,112.98764932271148,128.56273148897617,143.97884668629683,158.9144710702475,172.27771639055192,182.02730044319622,187.22420137782638,187.1568111069927,183.43569121293075,176.37799176153132,165.31772828767583,150.56591620684202,133.67807565450397,115.99298047867188,98.32069990592481,81.71671190029117,68.40098739976042,60.2667988066679,56.84266983561164,56.994229782205075,60.16739474904909,56.589848395579885,50.32151656573145,47.16806768368714,48.123530965171376,54.6034258709079,68.44989987634075,76.03385008900604,83.37545320919665,91.33891675338684,108.83666084165087,109.24617147764918,109.34153121018088,107.80799357202021,105.88023648203891,81.52400435407543,76.4778283719547,74.6370526725058,76.43794178380617,79.63659395102364,81.49931806639478,72.30176734744668,68.36829198515163,68.02876748594882,71.25625819033947,73.34887832993952,73.69572464801496,141.16616627423355,130.0655163518255,123.68926295667828,124.31262296188994,122.25485672500696,126.80372272720857,136.04051816810457,140.76422170707798,142.51524406284489,143.52960850864216,143.95133164314797,143.80248684738547,139.52004644052974,130.00930477730003,129.34161624262225,128.53813608500533,135.57528445752104,135.91957467125772,136.83550069885302,137.27306031979546,9.748277813055294,-7.525792974776688,4.935385899634007,0.45522967,0.6071478,0.72624856,0.35255405,0.14671247,0.0,0.346354,0.747022,1.0,0.027655708,0.060319558,0.8763452,0.6517984,0.0,0.52986,0.3182446,0.9675625,0.73779315,0.18138754,0.40057084,0.33023083,0.28816563,0.02134124,0.0003094472,0.1248474,0.044713996,0.19039148,P9_T12.mp4,7,00:00
8,211.0139136904762,23.204456438337054,125.63671874999997,159.74356253487724,0.9990917444229126,216.58653630144138,218.3880971392682,222.04798194072342,226.86694623400155,232.51600268762772,240.6657216290117,252.7687386308251,268.35106216885004,286.43886986111585,304.5191137069082,319.67779328791414,330.76760334764464,336.4603004532433,338.07229096060786,337.4342428055884,336.1174593999419,334.0554200274006,218.76641514619564,224.39728466232287,234.12938713648737,245.03120361925014,255.3212168946517,274.0777280290798,284.2102773314069,295.615152446286,307.0674901264992,316.3367097618444,266.42019040585024,267.1476907573069,267.7101290119657,268.3101808354929,261.5717876678,266.63888497296074,272.26634675916233,278.23530707304513,283.4818400684535,232.91777204634812,237.7351481603818,244.85042540338213,252.53579044063943,246.19606454055284,239.36705946280173,285.5198282373288,292.4140000799771,299.85786475320367,306.5192483661658,300.60619424683756,293.1427229866795,257.62560784959567,261.008869531643,267.564736343724,273.5250073747621,279.6150920639715,289.94337588886424,299.8758146063909,292.679751598298,284.4897740269298,277.9280343793693,271.86579995568763,264.5171517697532,260.92422757593886,269.2171168771973,274.883746134262,281.08005602085,296.0042106581759,282.37698147306605,276.20645950413785,270.3382685920278,96.29295337022042,112.30371968024753,128.00503097835647,143.59559248210257,158.8127490514041,172.55850896659956,182.72159929856986,188.33292221295295,188.44267796706924,184.83479175368225,177.7151555870722,166.46277995690994,151.43631915444178,134.18528768625055,116.12602151738493,98.19893984980718,81.43517091441254,69.05045204733393,60.85790368222471,57.45902299998204,57.647673557572524,60.87208875080012,57.10143701635714,50.6897203222097,47.36762067969861,48.08829414555417,54.32549964768669,69.19270263433664,76.79417410251224,84.18410352305239,92.19472538442263,109.49401350757012,109.9856978056012,110.15323357726551,108.57777119252326,106.55598473709134,82.65837171501128,77.6675641423339,75.71019606517677,77.20922589556123,80.71455457730677,82.67265961533633,72.84626899606393,68.99766508251848,68.60509916539087,71.67296444554076,73.94804835183717,74.3178370364194,142.09503731409845,130.9379524386031,124.53615043898351,125.13672213413392,123.0693126591115,127.59373825704432,136.97470172699892,141.96872564829005,143.83990929349847,144.88592527659162,145.3009542181407,145.0480909457747,140.4579330083217,130.88657084103272,130.22342031335106,129.4113351349401,136.55608509996236,137.18460417951508,138.136014952939,138.58016813113628,9.44411215530047,-7.983335850302228,4.523127498405116,0.40653345,0.6931848,0.6687774,0.37677062,0.14386027,0.0,0.3363829,0.01588863,1.0,0.029454553,0.064456046,0.90333545,0.581279,0.0,0.4269033,0.31427568,0.9383769,0.6579387,0.28242093,0.39736098,0.38064224,0.41495964,0.013511363,0.00022089395,0.07997083,0.022015952,0.0886792,P9_T12.mp4,8,00:00
9,210.78415178571427,23.94930855887277,125.55565476190478,159.1642796107701,0.9991577863693237,217.91051814452908,219.6008272931102,223.1176048606936,227.75309643389926,233.1101117511908,240.83244649035035,252.4530557784495,267.6858460517819,285.53346580988404,303.5800321895237,318.9328985402598,330.34662064612087,336.3798757428723,338.21641643582404,337.68374427069335,336.4324143631347,334.43772274652406,219.5750361242685,224.93072801477658,234.38151220859186,245.0115095115461,255.00808344908307,274.19950222483743,284.21781451457184,295.5316164752448,306.87928677725694,316.09869327814306,266.29424428949665,267.00047605055596,267.5194244222465,268.0579652024899,261.4249843169143,266.3991507652752,271.95547131007135,277.9188608569744,283.1437497979353,233.5036163402873,238.19075571099575,245.17273420063736,252.75031166440223,246.4900248375136,239.79514742358114,285.41357757370133,292.1807567811954,299.55331978277263,306.1830902911188,300.2651355510343,292.8998357433307,257.2033951817445,260.63719531304673,267.1649566541423,273.1061069389256,279.2157963360978,289.4465855074308,299.19819741647456,291.94030863416117,283.71426343083465,277.14221140672043,271.09312641799175,263.88625644969926,260.4912882216939,268.7006098642046,274.3688211629009,280.5785103954761,295.3814345730775,281.68862924220383,275.51092993875915,269.67243772726215,97.04259874040724,112.7449066835495,128.13776613785691,143.47517258689928,158.51807815456172,172.23808061735457,182.53253088608895,188.3423915417983,188.62251403154409,185.19103060863262,178.33318670519714,167.33665425873724,152.54659435868652,135.42055242017324,117.30801392689958,99.31815282733075,82.53542202683334,69.54551854446714,61.38271321883455,57.96119107278757,58.19368727480471,61.509301125228454,57.67327601845463,51.23327637261425,48.01451459410436,48.908399734816,55.20990347929076,69.68818110564122,77.31145521550214,84.73897600458035,92.77996914455578,109.90503203185725,110.44296375117241,110.63913829166252,109.00102623385129,106.93701551458024,82.95973826831126,77.77006671018493,75.8668309995067,77.56936121176103,80.85234191917672,82.77580756012716,73.21141073455372,69.22203888564889,68.80879389188605,72.08868375739465,74.13685320037206,74.52086326957716,142.02947824516067,130.7956511073141,124.41573219136208,125.05463141297567,122.96054332973206,127.45622126694688,136.86634922075956,141.87713332287433,143.85746931648367,144.919614653832,145.31281755854351,144.97403168630316,140.44216300720012,131.11389967273894,130.4610318948822,129.63918670845453,136.44855619258834,136.8451402392755,137.79759768795034,138.2484963082609,9.831276482469418,-7.276115107345892,4.8106557438753175,0.42490014,0.5539928,0.7386787,0.39475602,0.15855296,0.0,0.3703193,0.044617824,1.0,0.027320841,0.059146535,0.88379544,0.60129786,0.0,0.49604154,0.2706887,0.7815037,0.6585127,0.23742656,0.42611504,0.317171,0.367813,0.048746716,0.00033382865,0.09499243,0.034724765,0.1362183,P9_T12.mp4,9,00:00
